orig,dest,dist
5200050,3100104,289.83089709529423
5200050,5200100,100.1601415516802
5200050,3100203,499.7871491395572
5200050,1500107,1672.9999561453974
5200050,2300101,1539.696724831949
5200050,2900108,921.9413218817789
5200050,2900207,1431.7961174473894
5200050,4100103,733.7295312897975
5200050,4200051,1217.9476280733124
3100104,5200100,289.9489681696964
3100104,3100203,218.13876376408058
3100104,1500107,1870.809958149294
3100104,2300101,1532.8365094441829
3100104,2900108,844.9754143975663
3100104,2900207,1405.6732178070915
3100104,4100103,616.042014581059
3100104,4200051,1080.814683545125
5200100,3100203,477.00952535404247
5200100,1500107,1609.677115284608
5200100,2300101,1439.7052821265056
5200100,2900108,825.289931238258
5200100,2900207,1331.6527624919331
5200100,4100103,808.0390631536197
5200100,4200051,1291.5700874409633
3100203,1500107,1974.2330372898655
3100203,2300101,1484.0962227524344
3100203,2900108,770.884677583936
3100203,2900207,1345.7475234177755
3100203,4100103,683.6799749353414
3100203,4200051,1098.9359367145203
1500107,2300101,1256.6284097052203
1500107,2900108,1507.8614073419449
1500107,2900207,1331.4690588125718
1500107,4100103,2404.9058667584563
1500107,4200051,2887.9597406386865
2300101,2900108,716.1897851725064
2300101,2900207,153.09682865714026
2300101,4100103,2144.363640685286
2300101,4200051,2582.813540353627
2900108,2900207,575.0514180286276
2900108,4100103,1442.8275323170535
2900108,4200051,1869.5386246052622
2900207,4100103,2012.9735561999355
2900207,4200051,2444.553021628434
4100103,4200051,484.26514125780824
